LAW L1,L1,LAW L2,L2,Class,
182133,1432,-458302,18,0,
182446,1435,-458407,19,0,
157740,1188,-458341,18,0,
125933,870,-458261,17,0,
121951,830,-458315,18,0,
120861,819,-458324,18,0,
118863,799,-458299,18,0,
111517,725,-458316,18,0,
113057,741,-458338,18,0,
120904,819,-458328,18,0,
123869,849,-458295,18,0,
125426,864,-458303,18,0,
119691,807,-458308,18,0,
125869,869,-458314,18,0,
133364,944,-458295,18,0,
153309,1143,-458322,18,0,
177499,1385,-458348,18,0,
184740,1458,-458323,18,0,
165114,1261,-458313,18,0,
122932,840,-458324,18,0,
122556,836,-458319,18,0,
124472,855,-458335,18,0,
125754,868,-458321,18,0,
125572,866,-458360,18,0,
125047,861,-458317,18,0,
138133,992,-458296,18,0,
158206,1192,-458315,18,0,
179036,1401,-458321,18,0,
191044,1521,-458327,18,0,
196824,1578,-458306,18,0,
183763,1448,-458322,18,0,
184111,1451,-458351,18,0,
182149,1432,-458286,18,0,
181755,1428,-458306,18,0,
174954,1360,-458350,18,0,
134706,957,-458337,18,0,
54389,154,-458356,18,0,
30093,88,-458391,19,0,
64323,253,-458344,18,0,
99621,606,-458292,18,0,
124218,852,-458240,17,0,
131051,921,-458345,18,0,
126188,872,-458357,18,0,
125523,865,-458336,18,0,
125585,866,-458325,18,0,
125555,866,-458325,18,0,
126275,873,-458286,18,0,
127729,887,-458318,18,0,
126753,878,-458317,18,0,
90888,519,-458293,18,0,
57331,183,-458335,18,0,
44453,55,-458350,18,0,
69779,308,-458284,18,0,
86356,474,-458335,18,0,
87189,482,-458371,18,0,
87275,483,-458310,18,0,
87212,482,-458313,18,0,
87130,481,-458302,18,0,
87385,484,-458321,18,0,
87278,483,-458340,18,0,
87393,484,-458305,18,0,
87428,484,-458345,18,0,
87454,485,-458313,18,0,
87328,483,-458292,18,0,
87445,485,-458337,18,0,
87653,487,-458222,17,0,
87587,486,-458269,17,0,
87758,488,-459209,27,0,
87521,485,-460339,38,0,
87682,487,-459037,25,0,
87934,490,-458331,18,0,
87684,487,-458306,18,0,
88006,490,-458331,18,0,
88051,491,-458270,17,0,
87903,489,-458334,18,0,
88088,491,-458379,19,0,
87408,484,-458343,18,0,
88005,490,-458316,18,0,
87854,489,-458339,18,0,
87745,488,-458307,18,0,
88059,491,-458354,18,0,
87675,487,-458322,18,0,
87651,487,-458362,18,0,
88134,492,-458363,18,0,
87856,489,-458323,18,0,
87645,487,-458329,18,0,
88066,491,-458339,18,0,
87808,488,-458345,18,0,
88136,492,-458312,18,0,
88010,490,-458292,18,0,
87719,487,-458315,18,0,
88036,491,-458393,19,0,
87968,490,-458321,18,0,
87701,487,-458283,18,0,
87978,490,-458348,18,0,
88011,490,-458378,19,0,
88094,491,-458315,18,0,
88046,491,-458337,18,0,
87874,489,-458296,18,0,
87974,490,-458305,18,0,
88104,491,-458260,17,0,
90619,516,-458278,18,0,
117170,782,-458351,18,0,
210068,1711,-458401,19,0,
336478,2975,-458440,19,0,
320212,2812,-458429,19,0,
323501,2845,-458481,20,1,
333116,2941,-458531,20,1,
