=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.12 22:12:05 =~=~=~=~=~=~=~=~=~=~=~=
7,13176,L2,-552670,961
L,1356435,13175,L2,-552632,961
L,1356232,13173,L2,-552661,961
L,1356056,13171,L2,-552623,961
L,1355931,13169,L2,-552644,961
L,1355840,13169,L2,-552603,961
L,1355488,13165,L2,-552565,960
L,1355275,13163,L2,-552581,961
L,1355113,13161,L2,-552589,961
L,1354965,13160,L2,-552582,961
L,1354833,13159,L2,-552589,961
L,1354727,13157,L2,-552530,960
L,1354556,13156,L2,-552523,960
L,1354390,13154,L2,-552560,960
L,1354277,13153,L2,-552521,960
L,1354169,13152,L2,-552524,960
L,1353888,13149,L2,-552525,960
L,1353728,13147,L2,-552508,960
L,1353599,13146,L2,-552498,960
L,1353477,13145,L2,-552503,960
L,1353329,13143,L2,-552456,959
L,1353248,13143,L2,-552445,959
L,1353152,13142,L2,-552480,960
L,1352958,13140,L2,-552469,959
L,1352813,13138,L2,-552487,960
L,1352617,13136,L2,-552429,959
L,1352473,13135,L2,-552422,959
L,1352302,13133,L2,-552413,959
L,1352212,13132,L2,-552371,958
L,1352077,13131,L2,-552377,958
L,1351968,13130,L2,-552368,958
L,1351877,13129,L2,-552351,958
L,1351756,13128,L2,-552357,958
L,1351618,13126,L2,-552353,958
L,1351387,13124,L2,-552336,958
L,1351283,13123,L2,-552355,958
L,1351169,13122,L2,-552314,958
L,1351041,13121,L2,-552282,958
L,1350949,13120,L2,-552263,957
L,1350821,13118,L2,-552306,958
L,1350682,13117,L2,-552306,958
L,1350552,13116,L2,-552300,958
L,1350474,13115,L2,-552288,958
L,1350343,13114,L2,-552253,957
L,1350156,13112,L2,-552318,958
L,1350089,13111,L2,-552269,957
L,1349967,13110,L2,-552194,957
L,1349855,13109,L2,-552208,957
L,1349749,13108,L2,-552251,957
L,1349680,13107,L2,-552239,957
L,1349616,13106,L2,-552148,956
L,1349535,13106,L2,-552092,956
L,1349470,13105,L2,-552150,956
L,1349320,13103,L2,-552166,956
L,1349114,13101,L2,-552144,956
L,1348938,13100,L2,-552183,957
L,1348874,13099,L2,-552211,957
L,1348791,13098,L2,-552189,957
L,1348728,13097,L2,-552143,956
L,1348618,13096,L2,-552171,956
L,1348512,13095,L2,-552164,956
L,1348422,13094,L2,-552129,956
L,1348342,13094,L2,-552119,956
L,1348171,13092,L2,-552146,956
L,1348062,13091,L2,-552137,956
L,1347981,13090,L2,-552112,956
L,1347921,13089,L2,-552055,955
L,1347839,13089,L2,-552078,956
L,1347768,13088,L2,-552123,956
L,1347646,13087,L2,-552112,956
L,1347503,13085,L2,-552019,955
L,1347400,13084,L2,-552042,955
L,1347309,13083,L2,-552072,955
L,1347158,13082,L2,-552075,955
L,1347070,13081,L2,-552061,955
L,1347013,13080,L2,-552040,955
L,1346987,13080,L2,-552035,955
L,1346986,13080,L2,-552033,955
L,1346824,13078,L2,-552009,955
L,1346736,13078,L2,-551955,954
L,1346679,13077,L2,-551982,955
L,1346483,13075,L2,-551988,955
L,1346446,13075,L2,-551994,955
L,1346287,13073,L2,-552020,955
L,1346222,13072,L2,-551980,955
L,1346171,13072,L2,-551975,954
L,1346096,13071,L2,-552012,955
L,1346008,13070,L2,-551987,955
L,1345893,13069,L2,-551962,954
L,1345805,13068,L2,-551953,954
L,1345756,13068,L2,-551939,954
L,1345648,13067,L2,-551940,954
L,1345603,13066,L2,-551935,954
L,1345555,13066,L2,-551927,954
L,1345403,13064,L2,-551895,954
L,1345263,13063,L2,-551834,953
L,1345196,13062,L2,-551841,953
L,1345185,13062,L2,-551877,953
L,1345107,13061,L2,-551904,954
L,1345019,13060,L2,-551886,954
L,1344874,13059,L2,-551879,954
L,1344789,13058,L2,-551841,953
L,1344731,13057,L2,-551805,953
L,1344645,13057,L2,-551838,953
L,1344615,13056,L2,-551783,953
L,1344529,13055,L2,-551795,953
L,1344393,13054,L2,-551825,953
L,1344353,13054,L2,-551800,953
L,1344304,13053,L2,-551877,953
L,1344269,13053,L2,-551871,953
L,1344103,13051,L2,-551856,953
L,1344082,13051,L2,-551793,953
L,1344017,13050,L2,-551826,953
L,1343927,13049,L2,-551818,953
L,1343791,13048,L2,-551784,953
L,1343746,13048,L2,-551779,953
L,1343674,13047,L2,-551839,953
L,1343657,13047,L2,-551830,953
L,1343625,13046,L2,-551799,953
L,1343422,13044,L2,-551800,953
L,1343401,13044,L2,-551801,953
L,1343382,13044,L2,-551740,952
L,1343283,13043,L2,-551723,952
L,1343159,13042,L2,-551787,953
L,1343082,13041,L2,-551779,953
L,1342927,13039,L2,-551778,953
L,1342877,13039,L2,-551768,952
L,1342889,13039,L2,-551694,952
L,1342787,13038,L2,-551725,952
L,1342629,13036,L2,-551717,952
L,1342607,13036,L2,-551685,952
L,1342580,13036,L2,-551664,951
L,1342504,13035,L2,-551713,952
L,1342468,13035,L2,-551683,952
L,1342410,13034,L2,-551671,951
L,1342347,13034,L2,-551679,952
L,1342269,13033,L2,-551660,951
L,1342186,13032,L2,-551645,951
L,1342031,13030,L2,-551673,951
L,1342022,13030,L2,-551662,951
L,1341966,13030,L2,-551631,951
L,1341901,13029,L2,-551662,951
L,1341841,13029,L2,-551644,951
L,1341763,13028,L2,-551631,951
L,1341715,13027,L2,-551588,951
L,1341642,13027,L2,-551580,951
L,1341635,13027,L2,-551592,951
L,1341496,13025,L2,-551624,951
L,1341398,13024,L2,-551624,951
L,1341286,13023,L2,-551602,951
L,1341308,13023,L2,-551579,951
L,1341270,13023,L2,-551545,950
L,1341139,13022,L2,-551526,950
L,1341087,13021,L2,-551559,950
L,1341064,13021,L2,-551563,950
L,1340947,13020,L2,-551577,950
L,1340895,13019,L2,-551561,950
L,1340864,13019,L2,-551550,950
L,1340759,13018,L2,-551556,950
L,1340719,13017,L2,-551472,949
L,1340698,13017,L2,-551490,950
L,1340615,13016,L2,-551482,950
L,1340563,13016,L2,-551481,950
L,1340586,13016,L2,-551484,950
L,1340518,13015,L2,-551504,950
L,1340403,13014,L2,-551545,950
L,1340252,13013,L2,-551506,950
L,1340224,13012,L2,-551527,950
L,1340186,13012,L2,-551518,950
L,1340111,13011,L2,-551511,950
L,1340056,13011,L2,-551499,950
L,1340013,13010,L2,-551474,949
L,1339953,13010,L2,-551469,949
L,1339962,13010,L2,-551489,950
L,1339913,13009,L2,-551473,949
L,1339799,13008,L2,-551462,949
L,1339733,13008,L2,-551396,949
L,1339660,13007,L2,-551438,949
L,1339593,13006,L2,-551436,949
L,1339554,13006,L2,-551441,949
L,1339519,13005,L2,-551475,949
L,1339458,13005,L2,-551463,949
L,1339387,13004,L2,-551411,949
L,1339340,13004,L2,-551399,949
L,1339277,13003,L2,-551426,949
L,1339159,13002,L2,-551393,949
L,1339094,13001,L2,-551414,949
L,1339079,13001,L2,-551446,949
L,1339039,13001,L2,-551387,949
L,1338960,13000,L2,-551352,948
L,1338856,12999,L2,-551449,949
L,1338826,12998,L2,-551460,949
L,1338814,12998,L2,-551459,949
L,1338806,12998,L2,-551405,949
L,1338623,12996,L2,-551374,948
L,1338612,12996,L2,-551344,948
L,1338574,12996,L2,-551340,948
L,1338450,12995,L2,-551367,948
L,1338395,12994,L2,-551316,948
L,1338412,12994,L2,-551304,948
L,1338352,12994,L2,-551317,948
L,1338274,12993,L2,-551343,948
L,1338216,12992,L2,-551297,948
L,1338196,12992,L2,-551304,948
L,1338165,12992,L2,-551314,948
L,1338040,12991,L2,-551325,948
L,1338032,12991,L2,-551303,948
L,1338005,12990,L2,-551268,947
L,1337899,12989,L2,-551293,948
L,1337889,12989,L2,-551276,947
